#    FIFO    AIFO    SP-PIFO    PACKS
0   0   0   0   0
1   62106   19706   52   64
2   64925   33664   106   105
3   64878   43856   128   119
4   64667   50759   128   118
5   65021   55507   122   141
6   64599   59794   100   134
7   64748   62384   104   131
8   65135   64403   65   131
9   64419   66441   64   123
10   64930   66902   45   148
11   64846   68256   36   137
12   64888   68481   23   140
13   65069   69243   20   135
14   64829   69670   14   169
15   65114   69519   18   165
16   64866   70170   12   156
17   64808   70008   15   154
18   65209   70546   10   165
19   64779   70220   11   169
20   64655   71233   7   183
21   65049   70752   11   151
22   64905   71126   10   201
23   65404   70975   8   199
24   64762   70524   8   175
25   64788   71221   6   204
26   64915   71085   7   196
27   65195   71300   13   195
28   64541   71315   7   262
29   65062   71239   8   208
30   65023   70663   8   235
31   64800   70527   9   240
32   64703   71460   14   248
33   64930   71529   13   255
34   64884   71685   13   214
35   64845   71691   8   244
36   64734   71964   9   259
37   65140   70878   10   236
38   65325   71579   6   284
39   64685   71330   13   286
40   64849   71752   18   310
41   64933   71735   15   335
42   64482   71298   16   310
43   64888   71149   24   307
44   65604   71143   14   402
45   65119   71205   20   328
46   64720   71404   21   335
47   65317   71614   30   415
48   64958   71436   27   456
49   64912   71710   28   436
50   65067   71119   36   456
51   65152   71626   42   441
52   65023   71183   42   480
53   65273   71755   46   482
54   64952   71479   54   474
55   65013   71117   52   588
56   64910   71518   66   593
57   64909   71401   60   577
58   64465   71500   72   629
59   65139   71304   77   658
60   65168   71438   114   671
61   64980   71737   168   726
62   64864   71197   201   799
63   64773   71416   219   849
64   64837   71534   292   897
65   64994   71427   382   946
66   64710   71499   377   1039
67   64662   70983   562   1100
68   64987   71319   853   1214
69   65637   71243   1075   1266
70   64769   70933   1433   1380
71   64507   71563   2080   1459
72   65027   71838   2771   1619
73   64867   70924   3689   1824
74   65195   71080   4867   1945
75   65073   71702   5866   2339
76   64623   71326   7311   2593
77   64548   71257   9307   2952
78   64895   71372   11688   3319
79   64716   71150   14666   3896
80   65012   71313   17787   4644
81   65319   71618   21010   5731
82   65259   71397   24686   6923
83   64650   71596   28579   8718
84   64918   71452   32760   11272
85   64778   70905   35740   14493
86   64704   70418   38898   18850
87   64954   69448   40486   24469
88   65179   66047   41170   30254
89   65085   57585   40458   33842
90   64512   44018   38883   33409
91   65086   25466   36063   25990
92   65163   11663   32290   15892
93   65269   4859   28204   8323
94   64590   1774   23669   3891
95   65126   726   19829   1792
96   65016   214   16247   959
97   64964   91   12443   418
98   65225   29   9395   161
99   64993   1   6621   12
