#  FIFO    AIFO    SPPIFO    PACKS    PIFO
0   6553   0   0   0   0
1   6518   0   0   0   0
2   6420   0   0   0   0
3   6467   0   0   0   0
4   6560   0   0   0   0
5   6654   0   0   0   0
6   6400   0   0   0   0
7   6480   0   0   0   0
8   6420   0   0   0   0
9   6499   0   0   0   0
10   6581   0   0   0   0
11   6466   0   0   0   0
12   6360   0   0   0   0
13   6500   0   0   0   0
14   6452   0   0   0   0
15   6536   0   0   0   0
16   6569   0   0   0   0
17   6530   0   0   0   0
18   6528   0   0   0   0
19   6494   0   0   0   0
20   6446   0   0   0   0
21   6624   0   0   0   0
22   6455   0   0   0   0
23   6480   0   0   0   0
24   6520   0   0   0   0
25   6454   0   0   0   0
26   6447   0   0   1   0
27   6497   0   0   0   0
28   6503   0   0   0   0
29   6500   0   0   0   0
30   6591   0   0   1   0
31   6433   0   0   0   0
32   6635   0   0   0   0
33   6573   0   0   0   0
34   6474   0   0   0   0
35   6481   0   0   1   0
36   6492   0   0   1   0
37   6402   0   0   2   0
38   6422   0   0   3   0
39   6476   0   0   1   0
40   6376   0   0   1   0
41   6591   0   0   3   0
42   6407   0   0   0   0
43   6374   0   0   0   0
44   6490   0   0   1   0
45   6455   0   0   1   0
46   6482   0   0   2   0
47   6618   0   0   1   0
48   6570   0   0   2   0
49   6427   0   1   1   0
50   6481   0   1   1   0
51   6601   0   0   0   0
52   6444   0   0   2   0
53   6421   0   1   0   0
54   6469   0   0   1   0
55   6433   0   6   0   0
56   6522   0   3   1   0
57   6327   0   4   0   0
58   6489   0   7   6   0
59   6526   0   5   4   0
60   6443   0   20   4   0
61   6476   0   27   2   0
62   6392   0   34   2   0
63   6337   2   34   3   0
64   6430   7   68   0   0
65   6516   9   109   3   0
66   6472   6   145   2   0
67   6524   9   199   2   0
68   6608   3   245   5   0
69   6473   6   357   2   0
70   6528   4   410   1   0
71   6753   5   575   3   0
72   6438   7   763   3   0
73   6475   8   1061   3   0
74   6464   7   1310   6   0
75   6382   2   1677   3   0
76   6534   3   2152   6   0
77   6451   6   2723   5   0
78   6437   8   3419   10   0
79   6416   15   4188   20   0
80   6531   10   5311   26   0
81   6469   20   6663   55   0
82   6507   36   8102   118   0
83   6689   53   9890   308   0
84   6581   147   11853   668   0
85   6532   358   14381   1241   0
86   6489   911   17190   2524   0
87   6483   2396   19898   5119   0
88   6468   5600   23372   9926   0
89   6421   13429   26591   17589   0
90   6494   26904   30338   29760   6414
91   6476   46005   34153   43295   71317
92   6531   60906   38893   55485   71769
93   6453   67284   43287   62973   71121
94   6485   70062   47494   67061   71303
95   6528   70587   51319   69516   71358
96   6456   71004   55506   70234   71738
97   6456   71037   58905   70893   71381
98   6425   71112   62172   71322   71094
99   6613   71547   64475   71323   71536
