Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681484182,Capture flow 1,RX,0,0,0,0,0
1681484183,Capture flow 1,RX,0,0,0,0,0
1681484184,Capture flow 1,RX,0,0,0,0,0
1681484185,Capture flow 1,RX,0.39210890651395,3776.7929875424,3839.5304125846,392109,472099236
1681484186,Capture flow 1,RX,1.0212437032545,9836.6193497475,10000.018342268,1413353,1701677012
1681484187,Capture flow 1,RX,1.0212438858671,9836.6211086719,10000.020130411,2434597,2931254788
1681484188,Capture flow 1,RX,1.0047943861233,9678.1795271394,9838.9466289191,3439392,4141027968
1681484189,Capture flow 1,RX,1.0212439086937,9836.6213285375,10000.020353929,4460636,5370605744
1681484190,Capture flow 1,RX,1.0212435662951,9836.6180305546,10000.017001162,5481880,6600183520
1681484191,Capture flow 1,RX,1.0212435054243,9836.6174442468,10000.016405115,6503124,7829761296
1681484192,Capture flow 1,RX,1.0212438249962,9836.6205223637,10000.019534363,7524368,9059339072
1681484193,Capture flow 1,RX,1.0191796127325,9816.7380298397,9979.8067678769,8543548,10286431792
1681484194,Capture flow 1,RX,1.0212439391291,9836.6216216917,10000.020651952,9564792,11516009568
1681484195,Capture flow 1,RX,0.80946433659228,7796.7604900568,7926.2747839116,10374257,12490605428
1681484196,Capture flow 1,RX,0.51077937588112,4919.826948487,5001.551648628,10885037,13105584548
1681484197,Capture flow 1,RX,0.51040498478875,4916.2208134852,4997.8856110514,11395442,13720112168
1681484198,Capture flow 1,RX,0.51045039910201,4916.6582441506,4998.3303080069,11905893,14334695172
1681484199,Capture flow 1,RX,0.51046370714967,4916.7864272657,4998.4606204096,12416357,14949293828
1681484200,Capture flow 1,RX,0.51082092768766,4920.2271754876,5001.9585239176,12927178,15564322312
1681484201,Capture flow 1,RX,0.51064185162145,4918.5023148178,5000.2050110772,13437820,16179135280
1681484202,Capture flow 1,RX,0.51029967682755,4915.2064872029,4996.8544354953,13948120,16793536480
1681484203,Capture flow 1,RX,0.51074386300782,4919.4848884913,5001.2039065726,14458864,17408472256
1681484204,Capture flow 1,RX,0.51114539828386,4923.3524762702,5005.1357399956,14970010,18023892040
1681484205,Capture flow 1,RX,0.44059141896885,4243.7765475079,4314.271174543,15410602,18554364808
1681484206,Capture flow 1,RX,0.34038770074185,3278.6143335455,3333.0763656642,15750990,18964191960
1681484207,Capture flow 1,RX,0.34047798477945,3279.4839493956,3333.9604269604,16091468,19374127472
1681484208,Capture flow 1,RX,0.34054385791403,3280.1184394279,3334.6054566942,16432012,19784142448
1681484209,Capture flow 1,RX,0.34048680720135,3279.5689269634,3334.0468161156,16772499,20194088796
1681484210,Capture flow 1,RX,0.34062965484714,3280.9448354876,3335.4455802632,17113129,20604207316
1681484211,Capture flow 1,RX,0.34054078179852,3280.0888102833,3334.5753353711,17453670,21014218680
1681484212,Capture flow 1,RX,0.34046598477998,3279.3683654008,3333.8429229656,17794136,21424139744
1681484213,Capture flow 1,RX,0.34061486549774,3280.8023844742,3335.3007629539,18134751,21834240204
1681484214,Capture flow 1,RX,0.34034485038976,3278.2015989542,3332.6567750166,18475096,22244015584
1681484215,Capture flow 1,RX,0.30660491319338,2953.2185238787,3002.2753099896,18781701,22613168004
1681484216,Capture flow 1,RX,0.25507289167486,2456.8620926122,2497.6737552802,19036774,22920275896
