Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681484182,Capture flow 3,RX,0,0,0,0,0
1681484183,Capture flow 3,RX,0,0,0,0,0
1681484184,Capture flow 3,RX,0,0,0,0,0
1681484185,Capture flow 3,RX,0,0,0,0,0
1681484186,Capture flow 3,RX,0,0,0,0,0
1681484187,Capture flow 3,RX,0,0,0,0,0
1681484188,Capture flow 3,RX,0,0,0,0,0
1681484189,Capture flow 3,RX,0,0,0,0,0
1681484190,Capture flow 3,RX,0,0,0,0,0
1681484191,Capture flow 3,RX,0,0,0,0,0
1681484192,Capture flow 3,RX,0,0,0,0,0
1681484193,Capture flow 3,RX,0,0,0,0,0
1681484194,Capture flow 3,RX,0,0,0,0,0
1681484195,Capture flow 3,RX,0,0,0,0,0
1681484196,Capture flow 3,RX,0,0,0,0,0
1681484197,Capture flow 3,RX,0,0,0,0,0
1681484198,Capture flow 3,RX,0,0,0,0,0
1681484199,Capture flow 3,RX,0,0,0,0,0
1681484200,Capture flow 3,RX,0,0,0,0,0
1681484201,Capture flow 3,RX,0,0,0,0,0
1681484202,Capture flow 3,RX,0,0,0,0,0
1681484203,Capture flow 3,RX,0,0,0,0,0
1681484204,Capture flow 3,RX,0,0,0,0,0
1681484205,Capture flow 3,RX,0.15050492935501,1449.6634795474,1473.7442682442,150505,181208020
1681484206,Capture flow 3,RX,0.34033687321463,3278.1247628034,3332.5786625177,490842,590973768
1681484207,Capture flow 3,RX,0.34015995944977,3276.4207294202,3330.8463229322,831002,1000526408
1681484208,Capture flow 3,RX,0.34033696450009,3278.1256420648,3332.5795563849,1171339,1410292156
1681484209,Capture flow 3,RX,0.34038779711306,3278.615261793,3333.0773093311,1511727,1820119308
1681484210,Capture flow 3,RX,0.34011677193393,3276.0047472676,3330.4234307771,1851844,2229620176
1681484211,Capture flow 3,RX,0.340256581707,3277.3513950018,3331.792448075,2192101,2639289604
1681484212,Capture flow 3,RX,0.34023670087461,3277.1599028242,3331.5977749641,2532338,3048934952
1681484213,Capture flow 3,RX,0.34032174897613,3277.9790861381,3332.4305659743,2872660,3458682640
1681484214,Capture flow 3,RX,0.34057364982894,3280.4053951524,3334.897179125,3213234,3868733736
1681484215,Capture flow 3,RX,0.30394884147833,2927.6352411192,2976.2670557558,3517183,4234688332
1681484216,Capture flow 3,RX,0.25512183843151,2457.3335477723,2498.1530419213,3772305,4541855220
1681484217,Capture flow 3,RX,0.25491478538326,2455.3392128116,2496.1255784729,4027220,4848772880
1681484218,Capture flow 3,RX,0.25542983443025,2460.3001652322,2501.168938741,4282650,5156310600
1681484219,Capture flow 3,RX,0.25518290873948,2457.9217769787,2498.751042377,4537833,5463550932
1681484220,Capture flow 3,RX,0.25567994285108,2462.7092095416,2503.6180003978,4793513,5771389652
1681484221,Capture flow 3,RX,0.25505278336679,2456.6684093889,2497.4768547276,5048566,6078473464
1681484222,Capture flow 3,RX,0.2550397396734,2456.5427725342,2497.349130882,5303606,6385541624
1681484223,Capture flow 3,RX,0.25511887264749,2457.3049813406,2498.1240009642,5558725,6692704900
1681484224,Capture flow 3,RX,0.25550399809635,2461.014509664,2501.8951493594,5814229,7000331716
1681484225,Capture flow 3,RX,0.2922178780772,2814.6426016396,2861.3974621319,6106447,7352162188
1681484226,Capture flow 3,RX,0.34041388079479,3278.8664998154,3333.3327207426,6446861,7762020644
1681484227,Capture flow 3,RX,0.33994188096007,3274.3201974074,3328.710898361,6786803,8171310812
1681484228,Capture flow 3,RX,0.34021185044823,3276.9205435173,3331.354439589,7127015,8580926060
1681484229,Capture flow 3,RX,0.34029266786549,3277.6989768804,3332.1458037389,7467308,8990638832
1681484230,Capture flow 3,RX,0.34066288578387,3281.2649158702,3335.7709775956,7807971,9400797084
1681484231,Capture flow 3,RX,0.34029165772499,3277.6892472071,3332.1359124431,8148263,9810508652
1681484232,Capture flow 3,RX,0.33765923274675,3252.3337298167,3306.3592070562,8488242,10219843368
1681484233,Capture flow 3,RX,0.3416606970771,3290.8758342467,3345.541545779,8829903,10631203212
1681484234,Capture flow 3,RX,0.34028880984881,3277.6618164637,3332.1080260395,9170192,11040911168
1681484235,Capture flow 3,RX,0.18630588617686,1794.4982956556,1824.3072374439,9356498,11265223592
1681484236,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484237,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484238,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484239,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484240,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484241,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484242,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484243,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484244,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484245,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484246,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484247,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484248,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484249,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484250,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484251,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484252,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484253,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484254,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484255,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484256,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484257,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484258,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484259,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484260,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484261,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484262,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484263,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484264,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484265,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484266,Capture flow 3,RX,0,0,0,9356498,11265223592
1681484267,Capture flow 3,RX,0.11135920058994,1072.6118200823,1090.4292921767,9356498,11265223592
