Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681485015,Capture flow 3,RX,0,0,0,0,0
1681485016,Capture flow 3,RX,0,0,0,0,0
1681485017,Capture flow 3,RX,0,0,0,0,0
1681485018,Capture flow 3,RX,0,0,0,0,0
1681485019,Capture flow 3,RX,0,0,0,0,0
1681485020,Capture flow 3,RX,0,0,0,0,0
1681485021,Capture flow 3,RX,0,0,0,0,0
1681485022,Capture flow 3,RX,0,0,0,0,0
1681485023,Capture flow 3,RX,0,0,0,0,0
1681485024,Capture flow 3,RX,0,0,0,0,0
1681485025,Capture flow 3,RX,0,0,0,0,0
1681485026,Capture flow 3,RX,0,0,0,0,0
1681485027,Capture flow 3,RX,0,0,0,0,0
1681485028,Capture flow 3,RX,0,0,0,0,0
1681485029,Capture flow 3,RX,0,0,0,0,0
1681485030,Capture flow 3,RX,0,0,0,0,0
1681485031,Capture flow 3,RX,0,0,0,0,0
1681485032,Capture flow 3,RX,0,0,0,0,0
1681485033,Capture flow 3,RX,0,0,0,0,0
1681485034,Capture flow 3,RX,0,0,0,0,0
1681485035,Capture flow 3,RX,0,0,0,0,0
1681485036,Capture flow 3,RX,0,0,0,0,0
1681485037,Capture flow 3,RX,0,0,0,0,0
1681485038,Capture flow 3,RX,0,0,0,0,0
1681485039,Capture flow 3,RX,0,0,0,0,0
1681485040,Capture flow 3,RX,0.7839347546877,7550.8595571519,7676.2891179019,783935,943857740
1681485041,Capture flow 3,RX,1.0113956910451,9741.7632961465,9903.5866067137,1795331,2161578524
1681485042,Capture flow 3,RX,1.0101437657102,9729.7047513203,9891.3277538339,2805476,3377793104
1681485043,Capture flow 3,RX,1.0119935853033,9747.5222136415,9909.44118729,3817470,4596233880
1681485044,Capture flow 3,RX,1.0122354042024,9749.8514132778,9911.8090779501,4829706,5814966024
1681485045,Capture flow 3,RX,1.0125295926276,9752.685036189,9914.6897710095,5842236,7034052144
1681485046,Capture flow 3,RX,1.0122675550231,9750.1610899827,9912.1238987864,6854504,8252822816
1681485047,Capture flow 3,RX,1.0121329396722,9748.8644749224,9910.8057452699,7866637,9471430948
1681485048,Capture flow 3,RX,1.0125160268456,9752.5543705772,9914.5569348725,8879154,10690501416
1681485049,Capture flow 3,RX,1.0123158007679,9750.6257929961,9912.5963211189,9891471,11909331084
1681485050,Capture flow 3,RX,0.24482391609231,2358.1439598011,2397.3157863759,10136295,12204099180
