Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681485015,Capture flow 4,RX,0,0,0,0,0
1681485016,Capture flow 4,RX,0,0,0,0,0
1681485017,Capture flow 4,RX,0,0,0,0,0
1681485018,Capture flow 4,RX,0,0,0,0,0
1681485019,Capture flow 4,RX,0,0,0,0,0
1681485020,Capture flow 4,RX,0,0,0,0,0
1681485021,Capture flow 4,RX,0,0,0,0,0
1681485022,Capture flow 4,RX,0,0,0,0,0
1681485023,Capture flow 4,RX,0,0,0,0,0
1681485024,Capture flow 4,RX,0,0,0,0,0
1681485025,Capture flow 4,RX,0,0,0,0,0
1681485026,Capture flow 4,RX,0,0,0,0,0
1681485027,Capture flow 4,RX,0,0,0,0,0
1681485028,Capture flow 4,RX,0,0,0,0,0
1681485029,Capture flow 4,RX,0,0,0,0,0
1681485030,Capture flow 4,RX,0,0,0,0,0
1681485031,Capture flow 4,RX,0,0,0,0,0
1681485032,Capture flow 4,RX,0,0,0,0,0
1681485033,Capture flow 4,RX,0,0,0,0,0
1681485034,Capture flow 4,RX,0,0,0,0,0
1681485035,Capture flow 4,RX,0,0,0,0,0
1681485036,Capture flow 4,RX,0,0,0,0,0
1681485037,Capture flow 4,RX,0,0,0,0,0
1681485038,Capture flow 4,RX,0,0,0,0,0
1681485039,Capture flow 4,RX,0,0,0,0,0
1681485040,Capture flow 4,RX,0,0,0,0,0
1681485041,Capture flow 4,RX,0,0,0,0,0
1681485042,Capture flow 4,RX,0,0,0,0,0
1681485043,Capture flow 4,RX,0,0,0,0,0
1681485044,Capture flow 4,RX,0,0,0,0,0
1681485045,Capture flow 4,RX,0,0,0,0,0
1681485046,Capture flow 4,RX,0,0,0,0,0
1681485047,Capture flow 4,RX,0,0,0,0,0
1681485048,Capture flow 4,RX,0,0,0,0,0
1681485049,Capture flow 4,RX,0,0,0,0,0
1681485050,Capture flow 4,RX,0.77450397691798,7460.022305674,7583.9429419809,774504,932502816
1681485051,Capture flow 4,RX,1.013428388399,9761.342237059,9923.4907792028,1787933,2152671332
1681485052,Capture flow 4,RX,1.013335403555,9760.4466070415,9922.5802716103,2801269,3372727876
1681485053,Capture flow 4,RX,1.0138075316858,9764.9941451977,9927.2033502674,3815077,4593352708
1681485054,Capture flow 4,RX,1.013529844638,9762.319463553,9924.484238695,4828608,5813644032
1681485055,Capture flow 4,RX,1.0132966074183,9760.0729226531,9922.20037984,5841905,7033653620
1681485056,Capture flow 4,RX,1.0129903358318,9757.1229147317,9919.2013684648,6854896,8253294784
1681485057,Capture flow 4,RX,1.0134148187873,9761.2115345594,9923.3579055653,7868311,9473446444
1681485058,Capture flow 4,RX,1.0132565696871,9759.6872792258,9921.8083303757,8881568,10693407872
1681485059,Capture flow 4,RX,1.0131368414824,9758.5340571584,9920.6359517955,9894705,11913224820
1681485060,Capture flow 4,RX,0.23408996860609,2254.7545776138,2292.2089725908,10128795,12195069180
1681485061,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485062,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485063,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485064,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485065,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485066,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485067,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485068,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485069,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485070,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485071,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485072,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485073,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485074,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485075,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485076,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485077,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485078,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485079,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485080,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485081,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485082,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485083,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485084,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485085,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485086,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485087,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485088,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485089,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485090,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485091,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485092,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485093,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485094,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485095,Capture flow 4,RX,0,0,0,10128795,12195069180
1681485095,Capture flow 4,RX,0.12660987858761,1219.5063505558,1239.7639311299,10128795,12195069180
