Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681484182,Capture flow 4,RX,0,0,0,0,0
1681484183,Capture flow 4,RX,0,0,0,0,0
1681484184,Capture flow 4,RX,0,0,0,0,0
1681484185,Capture flow 4,RX,0,0,0,0,0
1681484186,Capture flow 4,RX,0,0,0,0,0
1681484187,Capture flow 4,RX,0,0,0,0,0
1681484188,Capture flow 4,RX,0,0,0,0,0
1681484189,Capture flow 4,RX,0,0,0,0,0
1681484190,Capture flow 4,RX,0,0,0,0,0
1681484191,Capture flow 4,RX,0,0,0,0,0
1681484192,Capture flow 4,RX,0,0,0,0,0
1681484193,Capture flow 4,RX,0,0,0,0,0
1681484194,Capture flow 4,RX,0,0,0,0,0
1681484195,Capture flow 4,RX,0,0,0,0,0
1681484196,Capture flow 4,RX,0,0,0,0,0
1681484197,Capture flow 4,RX,0,0,0,0,0
1681484198,Capture flow 4,RX,0,0,0,0,0
1681484199,Capture flow 4,RX,0,0,0,0,0
1681484200,Capture flow 4,RX,0,0,0,0,0
1681484201,Capture flow 4,RX,0,0,0,0,0
1681484202,Capture flow 4,RX,0,0,0,0,0
1681484203,Capture flow 4,RX,0,0,0,0,0
1681484204,Capture flow 4,RX,0,0,0,0,0
1681484205,Capture flow 4,RX,0,0,0,0,0
1681484206,Capture flow 4,RX,0,0,0,0,0
1681484207,Capture flow 4,RX,0,0,0,0,0
1681484208,Capture flow 4,RX,0,0,0,0,0
1681484209,Capture flow 4,RX,0,0,0,0,0
1681484210,Capture flow 4,RX,0,0,0,0,0
1681484211,Capture flow 4,RX,0,0,0,0,0
1681484212,Capture flow 4,RX,0,0,0,0,0
1681484213,Capture flow 4,RX,0,0,0,0,0
1681484214,Capture flow 4,RX,0,0,0,0,0
1681484215,Capture flow 4,RX,0.10935196985478,1053.2781736412,1070.774488818,109352,131659808
1681484216,Capture flow 4,RX,0.25542678875836,2460.2708293205,2501.1391155218,364779,439193916
1681484217,Capture flow 4,RX,0.25530196385919,2459.0685158917,2499.9168301092,620081,746577524
1681484218,Capture flow 4,RX,0.25516674524719,2457.7660902209,2498.5927694604,875248,1053798592
1681484219,Capture flow 4,RX,0.25526984974922,2458.7591927845,2499.6023687444,1130518,1361143672
1681484220,Capture flow 4,RX,0.25555791241348,2461.5338123666,2502.4230783528,1386076,1668835504
1681484221,Capture flow 4,RX,0.2554797316104,2460.7807748714,2501.657531929,1641556,1976433424
1681484222,Capture flow 4,RX,0.25547991244021,2460.7825166241,2501.6593026145,1897036,2284031344
1681484223,Capture flow 4,RX,0.25540183825418,2460.0305060643,2500.8948001849,2152438,2591535352
1681484224,Capture flow 4,RX,0.25505598099685,2456.6992089616,2497.5081659211,2407494,2898622776
1681484225,Capture flow 4,RX,0.14444088054531,1391.2545614124,1414.3651022996,2551935,3072529740
1681484226,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484227,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484228,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484229,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484230,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484231,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484232,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484233,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484234,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484235,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484236,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484237,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484238,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484239,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484240,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484241,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484242,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484243,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484244,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484245,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484246,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484247,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484248,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484249,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484250,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484251,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484252,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484253,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484254,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484255,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484256,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484257,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484258,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484259,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484260,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484261,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484262,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484263,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484264,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484265,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484266,Capture flow 4,RX,0,0,0,2551935,3072529740
1681484267,Capture flow 4,RX,0.030380161592014,292.62171645428,297.482542309,2551935,3072529740
