Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1681484244,Capture flow 2,RX,0.51001483280411,4912.4628695692,4994.0652428178,19289911,23225052844
1681484245,Capture flow 2,RX,0.28164290976866,2712.7845068918,2757.8473724547,19571554,23564151016
1681484246,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484247,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484248,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484249,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484250,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484251,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484252,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484253,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484254,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484255,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484256,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484257,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484258,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484259,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484260,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484261,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484262,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484263,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484264,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484265,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484266,Capture flow 2,RX,0,0,0,19571554,23564151016
1681484267,Capture flow 2,RX,0.23299454450329,2244.2034526557,2281.4825797762,19571554,23564151016
